DOI,Titel,Feld,Thema,HMD
10.31209/2019.100000149,Laparoscopic Training Exercises Using HTC VIVE,,,
10.31209/2019.100000131,Implementation of Local Area VR Environment using Mobile HMD and Multiple Kinects,,,
10.31209/2019.100000134,Distinction Between Real Faces and Photos by Analysis of Face Data,,,
10.1007/s00464-019-06887-8,Cognitive load and performance in immersive virtual reality versus conventional virtual reality simulation training of laparoscopic surgery: a randomized trial,Medizin,Training,Oculus Rift
10.1109/MCE.2019.2953741,Tracking Attacks on Virtual Reality Systems,Softwareentwicklung,Security,HTC Vive
10.1007/s10055-019-00389-7,Advantages and limits of virtual reality in learning processes: Briviesca in the fifteenth century,Archv§ologie / Museen,Training,Oculust Rift
10.1016/j.foodqual.2019.103833,The relationship between disgust sensitivity and behaviour: A virtual reality study on food disgust,Psychology / Human factors,Emotions / Empathy / Fear,
10.1080/10447318.2020.1726108,Cybersickness in Virtual Reality Head-Mounted Displays: Examining the Influence of Sex Differences and Vehicle Control,Psychology / Human factors,Cybersickness / Fatigue,
10.3341/jkos.2020.61.2.125,Relationship between Ocular Fatigue and Use of a Virtual Reality Device,Psychology / Human factors,Cybersickness / Fatigue,
10.1002/jsid.840,Depth perception in shuffleboard: Depth cues effect on depth perception in virtual and augmented reality system,Hardwareentwicklung und Evaluation,Visual perception,NED+ optical see?through stereographic AR HMD
10.1007/s10639-020-10119-1,The challenges of using head mounted virtual reality in K-12 schools from a teacher perspective,Bildungswesen,Image of VR / Use of VR,
10.3389/fmed.2019.00329,Older Adults With Cognitive and/or Physical Impairments Can Benefit From Immersive Virtual Reality Experiences: A Feasibility Study,Psychology / Human factors,Rehabilitation / Treatment,
10.1080/14616688.2020.1713881,Exploring virtual reality experiences of slum tourism,Tourism,Perception of prodcuts / Advertisement,
10.4218/etrij.2019-0284,Simulation and measurement: Feasibility study of Tactile Internet applications for mmWave virtual reality,Hardwareentwicklung und Evaluation,Hardware development,
10.3390/brainsci10010055,Motor Program Transformation of Throwing Dart from the Third-Person Perspective,Human biology,Visual perception,
10.1109/JIOT.2019.2946593,Alohomora: Motion-Based Hotword Detection in Head-Mounted Displays,Softwareentwicklung,Control of VR / Human-Computer Interface,
10.1097/AUD.0000000000000736,Use of Commercial Virtual Reality Technology to Assess Verticality Perception in Static and Dynamic Visual Backgrounds,Human biology,Measurement of body functions,Oculus Rift
10.1016/j.pnucene.2019.103127,Simplified virtual reality training system for radiation shielding and measurement in nuclear engineering,Ingenieurwesen / Physik,Training,HTC Vive
10.1007/s12555-018-0882-3,Calibration and Evaluation for Visuo-haptic Collocation in Haptic Augmented Virtuality Systems,Softwareentwicklung,Haptics / Physical interaction,HTC Vive
