DOI,order_num,Author
10.7776/ASK.2017.36.2.130,1,"Cho, Hye-Seung"
10.7717/peerj.5847,1,"Cometti, Carole"
10.7717/peerj.5844,1,"Rigutti, Sara"
10.7717/peerj.337,1,"Morina, N"
10.7358/neur-2017-021-lean,1,"Leanza, Federica"
10.7195/ri14.v24i2.965,1,"Rubio Tamayo, Jose Luis"
10.6036/8816,1,"Checa, David"
10.6035/2174-0992.2017.13.12,1,"Ramirez Alvarado, Maria del Mar"
10.6017/ital.v39i1.11369,1,"Frost, Megan"
10.5937/fmet1702205S,1,"Sidanin, Predrag"
10.5277/ABB-01082-2018-02,1,"Jurkojc, Jacek"
10.5277/ABB-00784-2016-02,1,"Jurkojc, Jacek"
10.5195/ijt.2018.6250,1,"Proffitt, Rachel"
10.4218/etrij.2019-0284,1,"Na, Woongsoo"
10.4218/etrij.2017-0166,1,"Kim, Mugeon"
10.4103/1673-5374.131612,1,"Gatica-Rojas, V"
10.4018/IJMBL.2016100104,1,"Cochrane, Thomas"
10.4015/S1016237212500391,1,"Lee, RG"
10.3991/ijoe.v15i06.9933,1,"El-Seoud, Samir A."
10.3991/ijoe.v14i05.7788,1,"Dinis, Fabio Matoseiro"
10.3991/ijoe.v14i03.8112,1,"Ye, Quan"
10.3991/ijoe.v13i08.7371,1,"Pirker, Johanna"
10.3991/ijet.v12i05.6766,1,"Halabi, Osama"
10.3928/23258160-20180501-08,1,"Clark, Andrew J."
10.3928/02793695-20190430-01,1,"Worley, Julie"
10.3928/01913913-20160511-01,1,"Ha, Suk-Gyu"
10.3837/tiis.2020.02.020,1,"Lee, Sungjin"
10.3813/AAA.919086,1,"Puyana-Romero, Virginia"
10.3807/COPP.2017.1.5.474,1,"Choi, Hojong"
10.3788/YJYXS20183301.0085,1,Wang Ze-wei
10.3788/COL201614.080901,1,"Chen, Zhidong"
10.3762/bjnano.6.220,1,"Leinen, P"
10.3758/s13428-019-01336-9,1,"Hornsey, Rebecca L."
10.3758/s13428-019-01310-5,1,"Commins, Sean"
10.3758/s13428-018-1116-6,1,"Bai, Jianying"
10.3758/s13428-014-0463-1,1,"Hodgson, E"
10.3758/s13428-013-0412-4,1,"Trojan, J"
10.3758/s13421-010-0054-z,1,"Ruddle, RA"
10.3758/s13414-011-0170-2,1,"Li, Z"
10.3758/BRM.42.2.414,1,"Durgin, FH"
10.37190/ABB-01490-2019-03,1,"Wodarski, Piotr"
10.3390/technologies5040077,1,"Nomura, Yoshihiko"
10.3390/sym8090093,1,"Kim, Jinmo"
10.3390/sym12010053,1,"Jeong, Kisung"
10.3390/sym11040476,1,"Park, Wonjun"
10.3390/sym10090400,1,"Kim, Jungho"
10.3390/su12093823,1,"Filter, E"
10.3390/su11226453,1,"Lee, Eun-Young"
10.3390/su11143894,1,"Monna, Fabrice"
10.3390/su11061605,1,"Ho, Li-Hsing"
10.3390/s8074350,1,"David, Y"
10.3390/s20082264,1,"Syawaludin, MF"
10.3390/s20082208,1,"Li, G"
10.3390/s20082168,1,"Sanchez-Herrera-Baeza, P"
10.3390/s20071917,1,"Lee, KF"
10.3390/s20041204,1,"Juliano, Julia M."
10.3390/s19143063,1,"Jiang, Haiyan"
10.3390/s19051121,1,"Alsaeedi, Nassr"
10.3390/s18092832,1,"Lee, Juyoung"
10.3390/s17051112,1,"Seo, Min-Woo"
10.3390/jcm8081153,1,"Ghita, Alexandra"
10.3390/info11030134,1,"Avola, Danilo"
10.3390/info10120386,1,"Kooijman, Lars"
10.3390/info10050177,1,"Rossi, Henrique"
10.3390/ijgi8010003,1,"Sasinka, Cenek"
10.3390/ijerph16224406,1,"Perrin, Theo"
10.3390/electronics7090171,1,"Choi, Song-Woo"
10.3390/computers8020039,1,"Ellman, Asko"
10.3390/computers7010015,1,"Carmen Juan, M. -"
10.3390/brainsci10010055,1,"Tumialis, Alexey"
10.3390/app9214652,1,"Lin, Chiuhsiang Joe"
10.3390/app9163384,1,"Tran, Huyen T. T."
10.3390/app9091919,1,"Kim, Nam-Gyoon"
10.3390/app9061182,1,"Gao, Hongyue"
10.3390/app10093182,1,"Pagano, A"
10.3390/app10093012,1,"Lin, CL"
10.3390/app10062026,1,"Fanini, Bruno"
10.3390/app10051668,1,"Kumar, Pavan B. N."
10.3390/app10041427,1,"Lin, Chiuhsiang Joe"
10.3389/frobt.2020.00020,1,"Kern, Angelika C."
10.3389/frobt.2020.00004,1,"Stanney, Kay"
10.3389/frobt.2019.00104,1,"Pan, Ye"
10.3389/frobt.2019.00084,1,"Thomas, BH"
10.3389/frobt.2019.00050,1,"Srivastava, Priyanka"
10.3389/frobt.2017.00042,1,"Maereg, Andualem Tadesse"
10.3389/frobt.2017.00011,1,"Smolyanskiy, Nikolai"
10.3389/frobt.2017.00003,1,"Gonzalez-Franco, Mar"
10.3389/frobt.2016.00074,1,"Slater, Mel"
10.3389/frobt.2016.00043,1,"Kinateder, Max"
10.3389/fpubh.2019.00116,1,"Gavarkovs, Adam G."
10.3389/fpsyg.2020.00035,1,"Reichenberger, Jonas"
10.3389/fpsyg.2019.01330,1,"Plechata, Adela"
10.3389/fpsyg.2018.02265,1,"Atzori, Barbara"
10.3389/fpsyg.2018.02086,1,"Cipresso, Pietro"
10.3389/fpsyg.2018.01901,1,"Cook, Henry E."
10.3389/fpsyg.2017.02321,1,"Calogiuri, Giovanna"
10.3389/fpsyg.2017.01611,1,"Gomez, Jocelyn"
10.3389/fpsyg.2016.01649,1,"Pritchard, Stephen C."
10.3389/fpsyg.2016.00268,1,"Peperkorn, Henrik M."
10.3389/fpsyg.2015.00713,1,"Riecke, BE"
10.3389/fpsyg.2015.00248,1,"Kim, J"
10.3389/fpsyg.2013.00946,1,"Heydrich, L"
10.3389/fpsyg.2013.00354,1,"Pasqualini, I"
10.3389/fnins.2020.00357,1,"Hagio, Shota"
10.3389/fnins.2015.00207,1,"Kathner, I"
10.3389/fnhum.2019.00417,1,"Kourtesis, Panagiotis"
10.3389/fnhum.2019.00401,1,"Tremmel, Christoph"
10.3389/fnhum.2018.00504,1,"Spanlang, Bernhard"
10.3389/fnhum.2018.00420,1,"Brouwer, Anne-Marie"
10.3389/fnhum.2017.00477,1,"Banaei, Maryam"
10.3389/fnhum.2017.00079,1,"Harjunen, Ville J."
10.3389/fnhum.2013.00580,1,"Takahashi, K"
10.3389/fneur.2019.01061,1,"Borrego, Adrian"
10.3389/fneur.2018.00067,1,"Ambron, Elisabetta"
10.3389/fneur.2018.00048,1,"Luo, Haizhen"
