LOCATION,TIME,Value
AUS,1981,0.900993082
AUS,1984,1.021986798
AUS,1986,1.177023429
AUS,1987,1.135802545
AUS,1988,1.161634682
AUS,1990,1.257607175
AUS,1992,1.459396062
AUS,1994,1.506862035
AUS,1996,1.580641919
AUS,1998,1.436278836
AUS,2000,1.47470572
AUS,2002,1.646284781
AUS,2004,1.727091713
AUS,2006,2.002164234
AUS,2008,2.245126413
AUS,2010,2.180340194
AUS,2011,2.113542836
AUS,2013,2.093862387
AUS,2015,1.8808091
AUS,2017,1.793975515
AUS,2019,1.797294719
AUT,1981,1.089984465
AUT,1982,1.135566832
AUT,1983,1.144742483
AUT,1984,1.194853764
AUT,1985,1.196862828
AUT,1986,1.23623142
AUT,1987,1.243788362
AUT,1988,1.283864795
AUT,1989,1.304151932
AUT,1990,1.350492625
AUT,1991,1.427314371
AUT,1992,1.414441623
AUT,1993,1.431265942
AUT,1994,1.509713215
AUT,1995,1.52975433
AUT,1996,1.580769195
AUT,1997,1.65491086
AUT,1998,1.731547593
AUT,1999,1.845371252
AUT,2000,1.886024244
AUT,2001,1.992104481
AUT,2002,2.065983838
AUT,2003,2.174556416
AUT,2004,2.166116646
AUT,2005,2.373239905
AUT,2006,2.359227098
AUT,2007,2.418432317
AUT,2008,2.569448163
AUT,2009,2.596736777
AUT,2010,2.726100573
AUT,2011,2.668677896
AUT,2012,2.91471878
AUT,2013,2.954918369
AUT,2014,3.084286721
AUT,2015,3.049690499
AUT,2016,3.116547045
AUT,2017,3.056563743
AUT,2018,3.090583758
AUT,2019,3.12972371
AUT,2020,3.20127915
BEL,1983,1.496450527
BEL,1984,1.508356648
BEL,1985,1.558515744
BEL,1986,1.561648126
BEL,1987,1.573954035
BEL,1988,1.529313767
BEL,1989,1.583041148
BEL,1991,1.558954439
BEL,1993,1.63679844
BEL,1994,1.627227284
BEL,1995,1.647285313
BEL,1996,1.742985796
BEL,1997,1.809714311
BEL,1998,1.838251002
BEL,1999,1.905645806
BEL,2000,1.936195166
BEL,2001,2.032791651
BEL,2002,1.903247913
BEL,2003,1.841195004
BEL,2004,1.820504973
BEL,2005,1.790606402
BEL,2006,1.822692776
BEL,2007,1.849994631
BEL,2008,1.936839386
BEL,2009,1.998598447
BEL,2010,2.061876394
BEL,2011,2.173324418
BEL,2012,2.281140634
BEL,2013,2.330725158
BEL,2014,2.370016325
BEL,2015,2.428165588
BEL,2016,2.523377107
BEL,2017,2.666661798
BEL,2018,2.860308276
BEL,2019,3.160004158
BEL,2020,3.477198923
CAN,1981,1.198562268
CAN,1982,1.339066054
CAN,1983,1.308993724
CAN,1984,1.342897837
CAN,1985,1.380125473
CAN,1986,1.416554317
CAN,1987,1.369407455
CAN,1988,1.352381742
CAN,1989,1.417405845
CAN,1990,1.475195578
CAN,1991,1.534684292
CAN,1992,1.578150315
CAN,1993,1.630976779
CAN,1994,1.684655518
CAN,1995,1.653878389
CAN,1996,1.606821782
CAN,1997,1.613803111
CAN,1998,1.710492181
CAN,1999,1.749829105
CAN,2000,1.858470207
CAN,2001,2.021156042
CAN,2002,1.971694588
CAN,2003,1.967807056
CAN,2004,1.997333295
CAN,2005,1.971243467
CAN,2006,1.94299895
CAN,2007,1.903577511
CAN,2008,1.855777859
CAN,2009,1.917415394
CAN,2010,1.825277543
CAN,2011,1.787140592
CAN,2012,1.772328277
CAN,2013,1.705404188
CAN,2014,1.714172855
CAN,2015,1.693242854
CAN,2016,1.728728459
CAN,2017,1.685803458
CAN,2018,1.679165352
CAN,2019,1.591630632
CAN,2020,1.696375326
CZE,1995,0.875934815
CZE,1996,0.889121528
CZE,1997,0.988186851
CZE,1998,1.060221902
CZE,1999,1.049572944
CZE,2000,1.109974525
CZE,2001,1.09870553
CZE,2002,1.098193894
CZE,2003,1.142098247
CZE,2004,1.139353053
CZE,2005,1.160997496
CZE,2006,1.225423725
CZE,2007,1.295723807
CZE,2008,1.233581602
CZE,2009,1.286557967
CZE,2010,1.326704041
CZE,2011,1.544766454
CZE,2012,1.769671428
CZE,2013,1.879240593
CZE,2014,1.958330634
CZE,2015,1.916889603
CZE,2016,1.670028731
CZE,2017,1.768549598
CZE,2018,1.899447184
CZE,2019,1.92772605
CZE,2020,1.9911275
DNK,1981,1.013747389
DNK,1982,1.051404124
DNK,1983,1.099357756
DNK,1984,1.12655938
DNK,1985,1.158511807
DNK,1986,1.236660179
DNK,1987,1.327182688
DNK,1988,1.40298057
DNK,1989,1.447183822
DNK,1990,1.519010151
DNK,1991,1.583289941
DNK,1992,1.613951366
DNK,1993,1.690422468
DNK,1995,1.789031561
DNK,1996,1.806670226
DNK,1997,1.889140981
DNK,1998,2.006187994
DNK,1999,2.127641406
DNK,2001,2.324664287
DNK,2002,2.441445604
DNK,2003,2.510845037
DNK,2004,2.419163315
DNK,2005,2.393372907
DNK,2006,2.403002599
DNK,2007,2.515412389
DNK,2008,2.773457368
DNK,2009,3.05514206
DNK,2010,2.917066277
DNK,2011,2.944651358
DNK,2012,2.981247114
DNK,2013,2.970481536
DNK,2014,2.914093489
DNK,2015,3.054966482
DNK,2016,3.092833563
DNK,2017,2.931243613
DNK,2018,2.966028405
DNK,2019,2.887997885
DNK,2020,2.961544604
FIN,1981,1.146392447
FIN,1983,1.301984187
FIN,1984,1.431453545
FIN,1985,1.51552496
FIN,1986,1.599170928
FIN,1987,1.686921226
FIN,1988,1.717479696
FIN,1989,1.747771194
FIN,1990,1.820021944
FIN,1991,1.968537498
FIN,1992,2.06073952
FIN,1993,2.095206176
FIN,1994,2.213062436
FIN,1995,2.204367912
FIN,1996,2.452558676
FIN,1997,2.621577526
FIN,1998,2.784425016
FIN,1999,3.056194977
FIN,2000,3.241382006
FIN,2001,3.193723334
FIN,2002,3.253077626
FIN,2003,3.298221405
FIN,2004,3.309072208
FIN,2005,3.323698895
FIN,2006,3.332155098
FIN,2007,3.337041567
FIN,2008,3.536968316
FIN,2009,3.734021689
FIN,2010,3.705320262
FIN,2011,3.618062809
FIN,2012,3.398323692
FIN,2013,3.271372008
FIN,2014,3.14750818
FIN,2015,2.871963479
FIN,2016,2.724418209
FIN,2017,2.727871286
FIN,2018,2.757422859
