DOI,COUNTRY
10.1002/adom.201901360,USA
10.1002/alr.21986,USA
10.1002/ase.1696,Australia
10.1002/cae.21915,China
10.1002/cav.1633,Korea
10.1002/cav.1727,UK
10.1002/cav.1805,China
10.1002/cav.1812,Korea
10.1002/cav.1830,China
10.1002/cav.1838,USA
10.1002/cav.1873,Sweden
10.1002/cav.1880,China
10.1002/cav.1882,Taiwan
10.1002/cav.1920,China
10.1002/col.22509,Korea
10.1002/ejp.910,Japan
10.1002/hfm.20566,Taiwan
10.1002/jsid.269,Taiwan
10.1002/jsid.638,Korea
10.1002/jsid.658,USA
10.1002/jsid.708,Japan
10.1002/jsid.747,China
10.1002/jsid.750,China
10.1002/jsid.765,USA
10.1002/jsid.840,China
10.1002/pmrj.12206,Korea
10.1016/j.jcde.2018.05.006,China
10.1021/acs.jchemed.8b00905,UK
10.1021/acs.jcim.5b00544,Sweden
10.1049/iet-ipr.2017.0826,China
10.1049/iet-ipr.2018.5920,USA
10.1068/p7929,USA
10.1073/pnas.1306779110,Spain
10.1080/0144929x.2016.1212931,Saudi Arabia
10.1080/0144929x.2016.1264483,Turkey
10.1080/0144929x.2019.1641228,Norway
10.1080/01691864.2016.1264885,Japan
10.1080/07370024.2016.1243478,Italia
10.1080/07370024.2018.1469408,South Alabama
10.1080/08824096.2018.1525349,Taiwan
10.1080/09588221.2020.1752735,Taiwan
10.1080/10447318.2017.1411665,France
10.1080/10447318.2017.1412144,Poland
10.1080/10447318.2018.1429061,Italia
10.1080/10447318.2018.1484054,Korea
10.1080/10447318.2018.1519164,France
10.1080/10447318.2018.1541546,Italia
10.1080/10447318.2020.1726108,USA
10.1080/10494820.2019.1641525,USA
10.1080/10494820.2019.1703008,Canada
10.1080/10548408.2019.1618781,Spain
10.1080/10749357.2017.1351069,Japan
10.1080/13527266.2019.1671480,USA
10.1080/13682199.2017.1355090,Korea
10.1080/14606925.2017.1352966,USA
10.1080/15420353.2018.1498427,USA
10.1080/15980316.2019.1567612,Korea
