LOCATION,TIME,Percentage,Value
AUS,1981,0.900993082,3528.129244
AUS,1984,1.021986798,4307.796659
AUS,1986,1.177023429,5292.788792
AUS,1987,1.135802545,5400.782715
AUS,1988,1.161634682,5737.072302
AUS,1990,1.257607175,6407.597166
AUS,1992,1.459396062,7767.659363
AUS,1994,1.506862035,8659.267591
AUS,1996,1.580641919,9802.037302
AUS,1998,1.436278836,9777.746456
AUS,2000,1.47470572,10644.76515
AUS,2002,1.646284781,12744.76513
AUS,2004,1.727091713,14372.93466
AUS,2006,2.002164234,17761.48983
AUS,2008,2.245126413,21014.3849
AUS,2010,2.180340194,21366.29068
AUS,2011,2.113542836,21523.06124
AUS,2013,2.093862387,22437.77588
AUS,2015,1.8808091,21157.07665
AUS,2017,1.793975515,21236.28968
AUS,2019,1.797294719,21724.33226
AUT,1981,1.089984465,2366.046353
AUT,1982,1.135566832,2514.569983
AUT,1983,1.144742483,2610.25277
AUT,1984,1.194853764,2725.913996
AUT,1985,1.196862828,2798.723783
AUT,1986,1.23623142,2957.310894
AUT,1987,1.243788362,3015.769622
AUT,1988,1.283864795,3215.540357
AUT,1989,1.304151932,3393.316596
AUT,1990,1.350492625,3666.593147
AUT,1991,1.427314371,4008.533234
AUT,1992,1.414441623,4055.543609
AUT,1993,1.431265942,4125.402087
AUT,1994,1.509713215,4456.042725
AUT,1995,1.52975433,4635.660407
AUT,1996,1.580769195,4902.800882
AUT,1997,1.65491086,5240.21267
AUT,1998,1.731547593,5679.245267
AUT,1999,1.845371252,6267.821191
AUT,2000,1.886024244,6622.144838
AUT,2001,1.992104481,7083.243669
AUT,2002,2.065983838,7467.255501
AUT,2003,2.174556416,7933.674896
AUT,2004,2.166116646,8119.036502
AUT,2005,2.373239905,9094.993762
AUT,2006,2.359227098,9353.582347
AUT,2007,2.418432317,9945.708354
AUT,2008,2.569448163,10721.07451
AUT,2009,2.596736777,10427.04714
AUT,2010,2.726100573,11147.59748
AUT,2011,2.668677896,11231.74266
AUT,2012,2.91471878,12350.73416
AUT,2013,2.954918369,12524.26805
AUT,2014,3.084286721,13159.03457
AUT,2015,3.049690499,13143.4318
AUT,2016,3.116547045,13698.78001
AUT,2017,3.056563743,13738.56545
AUT,2018,3.090583758,14238.98628
AUT,2019,3.12972371,14634.33484
AUT,2020,3.20127915,13960.83811
BEL,1983,1.496450527,4080.082026
BEL,1984,1.508356648,4213.975218
BEL,1985,1.558515744,4426.028153
